"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch"
"1",76001,"Abdelnaby, Alaa","Alaa Abdelnaby",FALSE,1990,1994,"HISTADD_alaa_abdelnaby",0,"","","","","Y","00"
"2",76002,"Abdul-Aziz, Zaid","Zaid Abdul-Aziz",FALSE,1968,1977,"HISTADD_zaid_abdul-aziz",0,"","","","","Y","00"
"3",76003,"Abdul-Jabbar, Kareem","Kareem Abdul-Jabbar",FALSE,1969,1988,"HISTADD_kareem_abdul-jabbar",0,"","","","","Y","00"
"4",51,"Abdul-Rauf, Mahmoud","Mahmoud Abdul-Rauf",FALSE,1990,2000,"mahmoud_abdul-rauf",0,"","","","","Y","00"
"5",1505,"Abdul-Wahad, Tariq","Tariq Abdul-Wahad",FALSE,1997,2003,"tariq_abdul-wahad",0,"","","","","Y","00"
"6",949,"Abdur-Rahim, Shareef","Shareef Abdur-Rahim",FALSE,1996,2007,"shareef_abdur-rahim",0,"","","","","Y","00"
"7",76005,"Abernethy, Tom","Tom Abernethy",FALSE,1976,1980,"HISTADD_tom_abernethy",0,"","","","","Y","00"
"8",76006,"Able, Forest","Forest Able",FALSE,1956,1956,"HISTADD_frosty_able",0,"","","","","Y","00"
"9",76007,"Abramovic, John","John Abramovic",FALSE,1946,1947,"HISTADD_brooms_abramovic",0,"","","","","Y","00"
"10",203518,"Abrines, Alex","Alex Abrines",FALSE,2016,2018,"alex_abrines",0,"","","","","Y","00"
"11",101165,"Acker, Alex","Alex Acker",FALSE,2005,2008,"alex_acker",0,"","","","","Y","01"
"12",76008,"Ackerman, Donald","Donald Ackerman",FALSE,1953,1953,"HISTADD_buddy_ackerman",0,"","","","","Y","00"
"13",76009,"Acres, Mark","Mark Acres",FALSE,1987,1992,"HISTADD_mark_acres",0,"","","","","Y","00"
"14",76010,"Acton, Charles","Charles Acton",FALSE,1967,1967,"HISTADD_bud_acton",0,"","","","","Y","00"
"15",203112,"Acy, Quincy","Quincy Acy",TRUE,2012,2018,"quincy_acy",1610612758,"Sacramento","Kings","SAC","kings","Y","01"
"16",76011,"Adams, Alvan","Alvan Adams",FALSE,1975,1987,"HISTADD_alvan_adams",0,"","","","","Y","00"
"17",76012,"Adams, Don","Don Adams",FALSE,1970,1976,"HISTADD_don_adams",0,"","","","","Y","00"
"18",200801,"Adams, Hassan","Hassan Adams",FALSE,2006,2008,"hassan_adams",0,"","","","","Y","00"
"19",1629121,"Adams, Jaylen","Jaylen Adams",FALSE,2018,2018,"jaylen_adams",0,"","","","","Y","01"
"20",203919,"Adams, Jordan","Jordan Adams",TRUE,2014,2015,"jordan_adams",1610612763,"Memphis","Grizzlies","MEM","grizzlies","Y","01"
"21",149,"Adams, Michael","Michael Adams",FALSE,1985,1995,"michael_adams",0,"","","","","Y","00"
"22",203500,"Adams, Steven","Steven Adams",TRUE,2013,2019,"steven_adams",1610612760,"Oklahoma City","Thunder","OKC","thunder","Y","00"
"23",912,"Addison, Rafael","Rafael Addison",FALSE,1986,1996,"rafael_addison",0,"","","","","Y","00"
"24",1628389,"Adebayo, Bam","Bam Adebayo",FALSE,2017,2019,"bam_adebayo",0,"","","","","Y","00"
"25",1629061,"Adel, Deng","Deng Adel",FALSE,2018,2019,"deng_adel",0,"","","","","Y","01"
"26",76015,"Adelman, Rick","Rick Adelman",FALSE,1968,1974,"HISTADD_rick_adelman",0,"","","","","Y","00"
"27",202399,"Adrien, Jeff","Jeff Adrien",FALSE,2010,2014,"jeff_adrien",0,"","","","","Y","01"
"28",201167,"Afflalo, Arron","Arron Afflalo",TRUE,2007,2017,"arron_afflalo",1610612752,"New York","Knicks","NYK","knicks","Y","00"
"29",200772,"Ager, Maurice","Maurice Ager",FALSE,2006,2010,"maurice_ager",0,"","","","","Y","01"
"30",76016,"Aguirre, Mark","Mark Aguirre",FALSE,1981,1993,"HISTADD_mark_aguirre",0,"","","","","Y","00"
"31",201336,"Ahearn, Blake","Blake Ahearn",FALSE,2007,2011,"blake_ahearn",0,"","","","","Y","01"
"32",76017,"Ainge, Danny","Danny Ainge",FALSE,1981,1994,"HISTADD_danny_ainge",0,"","","","","Y","00"
"33",201582,"Ajinca, Alexis","Alexis Ajinca",TRUE,2008,2017,"alexis_ajinca",1610612740,"New Orleans","Pelicans","NOP","pelicans","Y","01"
"34",76018,"Akin, Henry","Henry Akin",FALSE,1966,1967,"HISTADD_henry_akin",0,"","","","","Y","00"
"35",203006,"Akognon, Josh","Josh Akognon",FALSE,2012,2012,"josh_akognon",0,"","","","","Y","01"
"36",1629152,"Akoon-Purcell, DeVaughn","DeVaughn Akoon-Purcell",FALSE,2018,2018,"devaughn_akoon-purcell",0,"","","","","Y","01"
"37",202374,"Alabi, Solomon","Solomon Alabi",FALSE,2010,2011,"solomon_alabi",0,"","","","","Y","01"
"38",76019,"Alarie, Mark","Mark Alarie",FALSE,1986,1990,"HISTADD_mark_alarie",0,"","","","","Y","00"
"39",76020,"Alcorn, Gary","Gary Alcorn",FALSE,1959,1960,"HISTADD_gary_alcorn",0,"","","","","Y","00"
"40",203128,"Aldemir, Furkan","Furkan Aldemir",FALSE,2014,2014,"furkan_aldemir",0,"","","","","Y","00"
"41",202332,"Aldrich, Cole","Cole Aldrich",TRUE,2010,2017,"cole_aldrich",1610612746,"LA","Clippers","LAC","clippers","Y","01"
"42",200746,"Aldridge, LaMarcus","LaMarcus Aldridge",TRUE,2006,2019,"lamarcus_aldridge",1610612759,"San Antonio","Spurs","SAS","spurs","Y","00"
"43",76021,"Aleksinas, Chuck","Chuck Aleksinas",FALSE,1984,1984,"HISTADD_chuck_aleksinas",0,"","","","","Y","00"
"44",1626146,"Alexander, Cliff","Cliff Alexander",TRUE,2015,2015,"cliff_alexander",1610612757,"Portland","Trail Blazers","POR","blazers","Y","11"
"45",724,"Alexander, Cory","Cory Alexander",FALSE,1995,2004,"cory_alexander",0,"","","","","Y","00"
"46",2042,"Alexander, Courtney","Courtney Alexander",FALSE,2000,2003,"courtney_alexander",0,"","","","","Y","00"
"47",76022,"Alexander, Gary","Gary Alexander",FALSE,1993,1993,"HISTADD_gary_alexander",0,"","","","","Y","00"
"48",201570,"Alexander, Joe","Joe Alexander",FALSE,2008,2009,"joe_alexander",0,"","","","","Y","01"
"49",1629734,"Alexander, Kyle","Kyle Alexander",FALSE,2019,2019,"kyle_alexander",0,"","","","","N","00"
"50",2349,"Alexander, Victor","Victor Alexander",FALSE,1991,2001,"victor_alexander",0,"","","","","Y","00"
"51",1629638,"Alexander-Walker, Nickeil","Nickeil Alexander-Walker",FALSE,2019,2019,"nickeil_alexander-walker",0,"","","","","N","00"
"52",76024,"Alford, Steve","Steve Alford",FALSE,1987,1990,"HISTADD_steve_alford",0,"","","","","Y","00"
"53",1628959,"Alkins, Rawle","Rawle Alkins",FALSE,2018,2019,"rawle_alkins",0,"","","","","Y","01"
"54",76028,"Allen, Bob","Bob Allen",FALSE,1968,1968,"HISTADD_bob_allen",0,"","","","","Y","00"
"55",1628960,"Allen, Grayson","Grayson Allen",FALSE,2018,2019,"grayson_allen",0,"","","","","Y","01"
"56",1628386,"Allen, Jarrett","Jarrett Allen",FALSE,2017,2019,"jarrett_allen",0,"","","","","Y","00"
"57",706,"Allen, Jerome","Jerome Allen",FALSE,1995,1996,"jerome_allen",0,"","","","","Y","00"
"58",1628443,"Allen, Kadeem","Kadeem Allen",FALSE,2017,2019,"kadeem_allen",0,"","","","","Y","01"
"59",202730,"Allen, Lavoy","Lavoy Allen",TRUE,2011,2016,"lavoy_allen",1610612754,"Indiana","Pacers","IND","pacers","Y","01"
"60",76027,"Allen, Lucius","Lucius Allen",FALSE,1969,1978,"HISTADD_lucius_allen",0,"","","","","Y","00"
"61",2124,"Allen, Malik","Malik Allen",FALSE,2001,2010,"malik_allen",0,"","","","","Y","00"
"62",76025,"Allen, Randy","Randy Allen",FALSE,1988,1989,"HISTADD_randy_allen",0,"","","","","Y","00"
